JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2451086.3,10.6,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2451089.015,10.5,,,Vis.,SSU,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
2451099.4,10.9,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2451102.3,10.9,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2451105.017,10.3,,,Vis.,SSU,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
2451107.3,10.8,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2451112.007,10.3,,,Vis.,SSU,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
2451112.4,10.7,,,Vis.,POX,,,,,,,,V,,,,LX CYG,,STD,,,,
2451113.4,11,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2451118.965,10.8,,,Vis.,SSU,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
2451122.3,11,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2451125.016,10.6,,,Vis.,SSU,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
2451128.4,11.1,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2451131.948,10.8,,,Vis.,SSU,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
2451137.331,11.3,,,Vis.,DPA,,,,,,,,V,,,,LX CYG,,STD,,,,
2451138.3,11.2,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2451140.885,11,,,Vis.,SSU,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
2451148.897,10.8,,,Vis.,SSU,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
2451154.3,11.4,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2451159.66,11,,,Vis.,HK,,,,,,,,V,,,,LX CYG,,STD,,,,
2451165.3,11.4,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2451176.552,11.6,,,Vis.,OCN,,,,,,,,V,,,,LX CYG,,STD,,,,
2451184.3,11.6,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2451187.276,11.7,,,Vis.,DPA,,,,,,,,V,,,,LX CYG,,STD,,,,
2451190.3,11.7,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2451209.3,11.9,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2451210.497,12.4,,,Vis.,OCN,,,,,,,,V,,,,LX CYG,,STD,,,,
2451236.924,11.73,,,V,ZRE,,,,,,,,V,,,,LX CYG,,STD,,,,
2451267.914,12.1,,,V,ZRE,,,,,,,,V,,,,LX CYG,,STD,,,,
2451295.81,12.27,,,V,ZRE,,,,,,,,V,,,,LX CYG,,STD,,,,
2451298.6,13.3,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2451314.5,13.1,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2451319.804,12.16,,,V,ZRE,,,,,,,,V,,,,LX CYG,,STD,,,,
2451325.5,13.2,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2451331.5,13.1,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2451336.754,11.88,,,V,ZRE,,,,,,,,V,,,,LX CYG,,STD,,,,
2451341.768,11.8,,,V,ZRE,,,,,,,,V,,,,LX CYG,,STD,,,,
2451344.4,13.1,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2451351.5,12.8,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
